relpath,sha1,size,mtime,mime
old_logs/final_project_v2_2.2_scatter_halo_np1_20250506_160835.log,40237d124243895c696dc19da2b31d3ec34e86b8,99,2025-05-09 10:47:28.262221,text/plain
old_logs/correctness_sample_comparison.png,9281954956fbd2e4ea257504e2424dd8e60b1205,58836,2025-05-09 10:47:28.262221,image/png
old_logs/make_v1_20250506_160835.log,6fc0d870f93c28cc5a8269198e47d12cbfa580a8,353,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v4.log,1f569e2c90d7c0a1fb49ff721ce0b2f52264fdbb,5253,2025-05-09 10:48:57.143399,text/plain
old_logs/final_project_v1_np1_20250506_142151.log,99dedf3536a4049afccb7e1fbae870742f8e9e55,891,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np2_20250506_142151.log,8c3dc5e355c8b5fe5839e1e43a496861e98af61a,215,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np2_20250506_160835.log,9e3d2e8e08fab4b807ef1943bdb645ea4c12482c,99,2025-05-09 10:47:28.262221,text/plain
old_logs/summary_nixos_20250508_182322.csv,24072e0d392ca317f896a10f68e186835d8fb276,86,2025-05-09 10:47:28.272221,text/plain
old_logs/final_project_v3_np1_20250506_142151.log,1e49953f0041054b6f9b23e1672d83bd3124a2e8,161,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v2_2.1_broadcast_all_np1_20250506_160835.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v4_np4_20250506_142151.log,1db30b7a6087736dae4e755d8909d7da74a10cbb,195,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v4_np4_20250506_160835.log,15d69beeb25d2177f64aea295547a2a29ffebf9a,195,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np4_20250506_142151.log,060cb634b40d677b5d7198dfeecb2caa0e289315,215,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v1_20250506_142151.log,6fc0d870f93c28cc5a8269198e47d12cbfa580a8,353,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np4_20250506_142151.log,4b2e58e84b8f75b64eddfc3dc3afb0f262113457,99,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np2.log,3ba2c1f1c79e428c1e5e445b4ee5f78794ed12fd,215,2025-05-09 10:48:39.950899,text/plain
old_logs/make_v3.log,b893a4214ee45d3fdd20d0fde6f7818206487e64,1115,2025-05-09 10:48:46.775899,text/plain
old_logs/performance_v2.png,b6720f232b3e3b7479c441fb5c7ff0aa452124c4,65916,2025-05-09 10:47:28.272221,image/png
old_logs/final_project_v4_np4.log,3d55dab87191a78724dcbc67da0a70ac64ab9835,921,2025-05-09 10:49:02.354232,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np2.log,870a6289645dc31a057fc42bb4ba95390a9583ad,99,2025-05-09 10:48:25.092551,text/plain
old_logs/make_v2_2.2_scatter_halo_np1_20250506_142151.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:47:28.262221,text/plain
old_logs/performance_v4.png,4b611ce8a91f834e73f2d87351e86b0f326dec5b,60716,2025-05-09 10:47:28.272221,image/png
old_logs/generate_graphs.py,336e01c47329abd9c46d171768dc27785d974612,7640,2025-05-09 10:47:28.262221,text/x-script.python
old_logs/final_project_v4_np2.log,0440f1c0d7e80109b7eb83e1464dd5cc69013c7f,758,2025-05-09 10:49:00.859232,text/plain
old_logs/run_summary_20250506_142151.csv,be189d1c6cf6dabfec257e7760f37607a1173da0,1481,2025-05-09 10:47:28.272221,text/csv
old_logs/final_project_v3_np1_20250506_160835.log,d0f2844be5035a529a4c3974763d9dc07a38aee8,162,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v1.log,6fc0d870f93c28cc5a8269198e47d12cbfa580a8,353,2025-05-09 10:48:15.678385,text/plain
old_logs/make_v4_20250506_160835.log,363ee91751f21600055706a266effce475f80b71,1978,2025-05-09 10:47:28.272221,text/plain
old_logs/make_v2_2.2_scatter_halo_np1.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:48:36.131718,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np1.log,8b7c80fa1fe61180c7c58bfb4d9fa07473e91173,99,2025-05-09 10:48:21.517551,text/plain
old_logs/final_project_v4_np1.log,2e3a60cdb3ea9ef843c13eb5ebdd2f8a92dbba2d,481,2025-05-09 10:48:58.378398,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np4.log,314ccd5f7e71030ee04eb392ecc97b0f37d499eb,99,2025-05-09 10:48:29.263385,text/plain
