SessionID,MachineID,GitCommit,EntryTimestamp,ProjectVariant,NumProcesses,MakeLogFile,BuildSucceeded,BuildMessage,RunLogFile,RunCommandSucceeded,RunEnvironmentWarning,RunMessage,ParseSucceeded,ParseMessage,OverallStatusSymbol,OverallStatusMessage,ExecutionTime_ms,OutputShape,OutputFirst5Values
"script0_session_20250515_150209_nixos","nixos","9efd002","2025-05-15T15:02:12-04:00","V1 Serial",1,"script0_session_20250515_150209_nixos/make_v1_serial_np1.log",true,"Build OK","script0_session_20250515_150209_nixos/run_v1_serial_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","1034","227x227x3","0.062818 0.0609031 0.0647184 0.0627508 0.0703419"
"script0_session_20250515_150209_nixos","nixos","9efd002","2025-05-15T15:02:18-04:00","V2 2.1-broadcast-all",1,"script0_session_20250515_150209_nixos/make_v2_2_1_broadcast_all_np1.log",true,"Build OK","script0_session_20250515_150209_nixos/run_v2_2_1_broadcast_all_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","894.967","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script0_session_20250515_150209_nixos","nixos","9efd002","2025-05-15T15:02:23-04:00","V2 2.1-broadcast-all",2,"script0_session_20250515_150209_nixos/make_v2_2_1_broadcast_all_np2.log",true,"Build OK","script0_session_20250515_150209_nixos/run_v2_2_1_broadcast_all_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","983.253","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script0_session_20250515_150209_nixos","nixos","9efd002","2025-05-15T15:02:29-04:00","V2 2.1-broadcast-all",4,"script0_session_20250515_150209_nixos/make_v2_2_1_broadcast_all_np4.log",true,"Build OK","script0_session_20250515_150209_nixos/run_v2_2_1_broadcast_all_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","1287.77","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script0_session_20250515_150209_nixos","nixos","9efd002","2025-05-15T15:02:34-04:00","V2 2.2-scatter-halo",1,"script0_session_20250515_150209_nixos/make_v2_2_2_scatter_halo_np1.log",true,"Build OK","script0_session_20250515_150209_nixos/run_v2_2_2_scatter_halo_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","913.374","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script0_session_20250515_150209_nixos","nixos","9efd002","2025-05-15T15:02:41-04:00","V2 2.2-scatter-halo",2,"script0_session_20250515_150209_nixos/make_v2_2_2_scatter_halo_np2.log",true,"Build OK","script0_session_20250515_150209_nixos/run_v2_2_2_scatter_halo_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","635.181","13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"script0_session_20250515_150209_nixos","nixos","9efd002","2025-05-15T15:02:46-04:00","V2 2.2-scatter-halo",4,"script0_session_20250515_150209_nixos/make_v2_2_2_scatter_halo_np4.log",true,"Build OK","script0_session_20250515_150209_nixos/run_v2_2_2_scatter_halo_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","358.852","13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
