ts,version,np,total_time_s
2025-05-09 12:46:29,V2 2.1-broadcast-all,2,0.859128
2025-05-09 12:46:33,V2 2.2-scatter-halo,1,0.713241
2025-05-09 12:46:39,V2 2.2-scatter-halo,2,0.61017
2025-05-09 12:46:43,V3 CUDA,1,0.479423
2025-05-09 12:46:51,V4 MPI+CUDA,1,0.391094
2025-05-09 12:46:54,V4 MPI+CUDA,2,0.898987
2025-05-09 11:51:18,V1 Serial,1,0.921
2025-05-09 11:51:22,V2 2.1-broadcast-all,1,0.736225
2025-05-09 11:51:26,V2 2.1-broadcast-all,2,0.790668
2025-05-09 11:51:29,V2 2.1-broadcast-all,4,0.7946960000000001
2025-05-09 11:51:33,V2 2.2-scatter-halo,1,0.718764
2025-05-09 11:51:37,V2 2.2-scatter-halo,2,0.49149200000000004
2025-05-09 11:51:40,V2 2.2-scatter-halo,4,0.308855
2025-05-09 11:51:43,V3 CUDA,1,0.475507
2025-05-09 12:42:10,V1 Serial,1,0.907
2025-05-08 18:46:42,V1 Serial,1,1.046
2025-05-08 18:46:46,V2 2.1-broadcast-all,1,1.00971
2025-05-08 18:46:51,V2 2.1-broadcast-all,2,1.01033
2025-05-08 18:46:56,V2 2.1-broadcast-all,4,1.57115
2025-05-08 18:47:01,V2 2.2-scatter-halo,1,1.1942300000000001
2025-05-08 18:47:07,V2 2.2-scatter-halo,2,0.781831
2025-05-08 18:47:12,V2 2.2-scatter-halo,4,0.45435899999999996
2025-05-08 18:47:18,V3 CUDA,1,0.227662
2025-05-08 18:47:28,V4 MPI+CUDA,1,0.24753299999999998
2025-05-08 18:47:30,V4 MPI+CUDA,2,0.28274900000000003
2025-05-08 18:47:32,V4 MPI+CUDA,4,0.36874900000000005
2025-05-08 18:51:36,V1 Serial,1,1.105
2025-05-08 18:51:43,V2 2.1-broadcast-all,1,1.7385899999999999
2025-05-08 18:51:49,V2 2.1-broadcast-all,2,1.07777
2025-05-08 18:51:53,V2 2.1-broadcast-all,4,1.08102
2025-05-08 18:51:57,V2 2.2-scatter-halo,1,1.01912
2025-05-08 18:52:02,V2 2.2-scatter-halo,2,0.712056
2025-05-08 18:52:08,V2 2.2-scatter-halo,4,0.407714
2025-05-08 18:52:13,V3 CUDA,1,0.23200800000000002
2025-05-08 18:52:26,V4 MPI+CUDA,1,0.269202
2025-05-08 18:52:28,V4 MPI+CUDA,2,0.34052499999999997
2025-05-08 18:52:30,V4 MPI+CUDA,4,0.400781
2025-05-09 10:52:59,V1 Serial,1,0.761
2025-05-09 10:53:03,V2 2.1-broadcast-all,1,0.736844
2025-05-09 10:53:06,V2 2.1-broadcast-all,2,0.760878
2025-05-09 10:53:10,V2 2.1-broadcast-all,4,0.79335
2025-05-09 10:53:13,V2 2.2-scatter-halo,1,0.710215
2025-05-09 10:53:17,V2 2.2-scatter-halo,2,0.456966
2025-05-09 10:53:20,V2 2.2-scatter-halo,4,0.26392000000000004
2025-05-09 10:53:24,V3 CUDA,1,0.488216
2025-05-09 10:53:32,V4 MPI+CUDA,1,0.405534
2025-05-09 10:53:33,V4 MPI+CUDA,2,0.354286
2025-05-09 10:53:35,V4 MPI+CUDA,4,0.40034800000000004
