Timestamp,Version,NP,StatusSymbol,StatusMessage,Success,Time_ms,Shape,First_Values
"2025-05-06T16:08:39-04:00","V1 Serial",1,"✔","✔",true,1158,"13x13x256","0.0749753 0.0867545 0.0973801 0.06202 0.0740574"
"2025-05-06T16:08:48-04:00","V2 2.1-broadcast-all",1,"✔","✔",true,1933.7,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T16:08:58-04:00","V2 2.1-broadcast-all",2,"✔","✔",true,2375.41,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T16:09:07-04:00","V2 2.1-broadcast-all",4,"✔","✔",true,2176.93,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T16:09:14-04:00","V2 2.2-scatter-halo",1,"✔","✔",true,1122.91,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T16:09:23-04:00","V2 2.2-scatter-halo",2,"✔","✔",true,1326.32,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"2025-05-06T16:09:32-04:00","V2 2.2-scatter-halo",4,"✔","✔",true,712.136,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"2025-05-06T16:09:44-04:00","V3 CUDA",1,"✔","✔",true,200.526,"13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"2025-05-06T16:09:57-04:00","V4 MPI+CUDA",1,"✔","✔",true,229.188,"13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"2025-05-06T16:09:59-04:00","V4 MPI+CUDA",2,"✔","✔",true,180.931,"8x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"2025-05-06T16:10:00-04:00","V4 MPI+CUDA",4,"✔","✔",true,250.167,"4x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
