SessionID,MachineID,GitCommit,EntryTimestamp,ProjectVariant,NumProcesses,MakeLogFile,BuildSucceeded,BuildMessage,RunLogFile,RunCommandSucceeded,RunEnvironmentWarning,RunMessage,ParseSucceeded,ParseMessage,OverallStatusSymbol,OverallStatusMessage,ExecutionTime_ms,OutputShape,OutputFirst5Values
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:15:33-04:00","V1 Serial",1,"script1_session_20250515_151531_nixos/make_v1_serial_np1.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v1_serial_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","743","227x227x3","0.0794591 0.0565683 0.0751738 0.0532641 0.0683514"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:15:38-04:00","V2 2.1-broadcast-all",1,"script1_session_20250515_151531_nixos/make_v2_2_1_broadcast_all_np1.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v2_2_1_broadcast_all_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","715.36","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:15:42-04:00","V2 2.1-broadcast-all",2,"script1_session_20250515_151531_nixos/make_v2_2_1_broadcast_all_np2.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v2_2_1_broadcast_all_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","745.735","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:15:47-04:00","V2 2.1-broadcast-all",4,"script1_session_20250515_151531_nixos/make_v2_2_1_broadcast_all_np4.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v2_2_1_broadcast_all_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","789.772","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:15:51-04:00","V2 2.2-scatter-halo",1,"script1_session_20250515_151531_nixos/make_v2_2_2_scatter_halo_np1.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v2_2_2_scatter_halo_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","734.321","13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:15:56-04:00","V2 2.2-scatter-halo",2,"script1_session_20250515_151531_nixos/make_v2_2_2_scatter_halo_np2.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v2_2_2_scatter_halo_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","454.647","13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:16:00-04:00","V2 2.2-scatter-halo",4,"script1_session_20250515_151531_nixos/make_v2_2_2_scatter_halo_np4.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v2_2_2_scatter_halo_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","257.735","13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:16:04-04:00","V3 CUDA Only",1,"script1_session_20250515_151531_nixos/make_v3_cuda_np1.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v3_cuda_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","191.695","13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:16:15-04:00","V4 MPI+CUDA",1,"script1_session_20250515_151531_nixos/make_v4_mpi_cuda_np1.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v4_mpi_cuda_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","145.873","13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:16:26-04:00","V4 MPI+CUDA",2,"script1_session_20250515_151531_nixos/make_v4_mpi_cuda_np2.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v4_mpi_cuda_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","160.151","8x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"script1_session_20250515_151531_nixos","nixos","9efd002","2025-05-15T15:16:37-04:00","V4 MPI+CUDA",4,"script1_session_20250515_151531_nixos/make_v4_mpi_cuda_np4.log",true,"Build OK","script1_session_20250515_151531_nixos/run_v4_mpi_cuda_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔ OK","201.451","4x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
