SessionID,MachineID,GitCommit,EntryTimestamp,ProjectVariant,NumProcesses,MakeLogFile,BuildSucceeded,BuildMessage,RunLogFile,RunCommandSucceeded,RunEnvironmentWarning,RunMessage,ParseSucceeded,ParseMessage,OverallStatusSymbol,OverallStatusMessage,ExecutionTime_ms,OutputShape,OutputFirst5Values
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:10-04:00","V1 Serial",1,"run_20250509_115507_nixos/make_v1.log",true,"Build OK","run_20250509_115507_nixos/run_v1_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",771,"13x13x256","0.0634591 0.0891647 0.067302 0.0832965 0.0977819"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:13-04:00","V2 2.1-broadcast-all",1,"run_20250509_115507_nixos/make_v2_2.1_broadcast_all_np1.log",true,"Build OK","run_20250509_115507_nixos/run_v2_2.1_broadcast_all_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",741.507,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:17-04:00","V2 2.1-broadcast-all",2,"run_20250509_115507_nixos/make_v2_2.1_broadcast_all_np2.log",true,"Build OK","run_20250509_115507_nixos/run_v2_2.1_broadcast_all_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔",748.642,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:21-04:00","V2 2.1-broadcast-all",4,"run_20250509_115507_nixos/make_v2_2.1_broadcast_all_np4.log",true,"Build OK","run_20250509_115507_nixos/run_v2_2.1_broadcast_all_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔",806.698,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:24-04:00","V2 2.2-scatter-halo",1,"run_20250509_115507_nixos/make_v2_2.2_scatter_halo_np1.log",true,"Build OK","run_20250509_115507_nixos/run_v2_2.2_scatter_halo_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",709.114,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:28-04:00","V2 2.2-scatter-halo",2,"run_20250509_115507_nixos/make_v2_2.2_scatter_halo_np2.log",true,"Build OK","run_20250509_115507_nixos/run_v2_2.2_scatter_halo_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔",464.993,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:31-04:00","V2 2.2-scatter-halo",4,"run_20250509_115507_nixos/make_v2_2.2_scatter_halo_np4.log",true,"Build OK","run_20250509_115507_nixos/run_v2_2.2_scatter_halo_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔",278.775,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:36-04:00","V3 CUDA",1,"run_20250509_115507_nixos/make_v3.log",true,"Build OK","run_20250509_115507_nixos/run_v3_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",509.585,"13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:44-04:00","V4 MPI+CUDA",1,"run_20250509_115507_nixos/make_v4.log",true,"Build OK","run_20250509_115507_nixos/run_v4_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",452.232,"13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:46-04:00","V4 MPI+CUDA",2,"run_20250509_115507_nixos/make_v4.log",true,"Build OK","run_20250509_115507_nixos/run_v4_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔",360.105,"8x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"run_20250509_115507_nixos","nixos","2944996","2025-05-09T11:55:48-04:00","V4 MPI+CUDA",4,"run_20250509_115507_nixos/make_v4.log",true,"Build OK","run_20250509_115507_nixos/run_v4_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔",376.953,"4x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
