SessionID,MachineSetOrMaster,GitCommit,EntryTimestamp,ProjectVariant,NumProcesses,MakeLogFile,BuildSucceeded,BuildMessage,RunLogFile,RunCommandSucceeded,RunEnvironmentWarning,RunMessage,ParseSucceeded,ParseMessage,OverallStatusSymbol,OverallStatusMessage,ExecutionTime_ms,OutputShape,OutputFirst5Values
"fullsuite_20250509_124206_nixos","nixos","7560fdb","2025-05-09T12:42:10-04:00","V1 Serial",1,"fullsuite_20250509_124206_nixos/make_v1.log",true,"Build OK","fullsuite_20250509_124206_nixos/run_v1_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",907,"13x13x256","0.0651564 0.0727003 0.0965259 0.0638324 0.0515562"
"fullsuite_20250509_124206_nixos","nixos","7560fdb","2025-05-09T12:42:13-04:00","V2 2.1-broadcast-all",1,"fullsuite_20250509_124206_nixos/make_v2_2.1_broadcast_all_np1.log",true,"Build OK","fullsuite_20250509_124206_nixos/run_v2_2.1_broadcast_all_np1.log",false,false,"Runtime Err",false,"Not run or runtime err","✘","✘ (runtime)",,"–","–"
