SessionID,MachineID,GitCommit,EntryTimestamp,ProjectVariant,NumProcesses,MakeLogFile,BuildSucceeded,BuildMessage,RunLogFile,RunCommandSucceeded,RunEnvironmentWarning,RunMessage,ParseSucceeded,ParseMessage,OverallStatusSymbol,OverallStatusMessage,ExecutionTime_ms,OutputShape,OutputFirst5Values
"run_20250514_175646_nixos","nixos","1c6a1ff","2025-05-14T17:56:49-04:00","V1 Serial",1,"run_20250514_175646_nixos/make_v1.log",true,"Build OK","run_20250514_175646_nixos/run_v1_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",729,"13x13x256","0.049747 0.0625974 0.0699713 0.0680924 0.0774965"
"run_20250514_175646_nixos","nixos","1c6a1ff","2025-05-14T17:56:53-04:00","V2 2.1-broadcast-all",1,"run_20250514_175646_nixos/make_v2_2.1_broadcast_all_np1.log",true,"Build OK","run_20250514_175646_nixos/run_v2_2.1_broadcast_all_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",935.677,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250514_175646_nixos","nixos","1c6a1ff","2025-05-14T17:56:56-04:00","V2 2.1-broadcast-all",2,"run_20250514_175646_nixos/make_v2_2.1_broadcast_all_np2.log",true,"Build OK","run_20250514_175646_nixos/run_v2_2.1_broadcast_all_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔",789.497,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250514_175646_nixos","nixos","1c6a1ff","2025-05-14T17:57:00-04:00","V2 2.1-broadcast-all",4,"run_20250514_175646_nixos/make_v2_2.1_broadcast_all_np4.log",true,"Build OK","run_20250514_175646_nixos/run_v2_2.1_broadcast_all_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔",826.095,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250514_175646_nixos","nixos","1c6a1ff","2025-05-14T17:57:05-04:00","V2 2.2-scatter-halo",1,"run_20250514_175646_nixos/make_v2_2.2_scatter_halo_np1.log",true,"Build OK","run_20250514_175646_nixos/run_v2_2.2_scatter_halo_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",737.047,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250514_175646_nixos","nixos","1c6a1ff","2025-05-14T17:57:08-04:00","V2 2.2-scatter-halo",2,"run_20250514_175646_nixos/make_v2_2.2_scatter_halo_np2.log",true,"Build OK","run_20250514_175646_nixos/run_v2_2.2_scatter_halo_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔",565.519,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"run_20250514_175646_nixos","nixos","1c6a1ff","2025-05-14T17:57:12-04:00","V2 2.2-scatter-halo",4,"run_20250514_175646_nixos/make_v2_2.2_scatter_halo_np4.log",true,"Build OK","run_20250514_175646_nixos/run_v2_2.2_scatter_halo_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔",280.954,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
